video_id,title,description,publishedAt,channelTitle,TaxonName,query,search_type,search_unit,regionCode,geo_id,location,locationRadius,video_url,viewCount,likeCount,commentCount,duration
dRHHj6WsVbE,VESPA VELUTINA: ¿Cómo es la avispa asiática que ha matado a tres personas en Galicia? | EL PAÍS,"Preguntas y respuestas sobre la ""vespa velutina"", la avispa asiática que ha matado a tres personas en Galicia. Gonzalo Calvo, el ...",2025-10-31T00:00:00Z,EL PAÍS,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=dRHHj6WsVbE,55776,518,93,PT3M32S
Muh5aQFZsFw,Vespa velutina o avispa asiatica datos y curiosidades.,en este video vamos a hablar de la avispa velutina o avispón asiatico (vespa velutina) es una plaga invasora en la península ...,2024-06-22T00:00:00Z,Daniel Alon.Videos educativos y entretenidos.,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=Muh5aQFZsFw,8617,62,20,PT3M28S
ck-mZgggIEw,¿Por qué la avispa velutina es tan peligrosa? 🐝 #shorts #avispa #animalespeligrosos,Cuidado con la avispa asiatica! ⚠️ Este video muestra cómo la vespa velutina o avispa velutina se ha convertido en una plaga ...,2025-10-18T00:00:00Z,Planeta Mascotas,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=ck-mZgggIEw,18479,251,0,PT30S
zSNONsdqKS4,¿Cómo diferenciar el AVISPÓN ASIÁTICO invasor del AVISPÓN EUROPEO? Vespa velutina vs Vespa crabro,"Hola neuronas verdes! Hoy vamos a hablar de un insector invasor en nuestro territorio, la Vespa velutina, que se conoce como ...",2021-05-06T00:00:00Z,CEDREAC Educación Ambiental,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=zSNONsdqKS4,27986,255,23,PT4M35S
gFKCQHJhBQM,Charla sobre la problemática de la Vespa Velutina (avispa asiática),Charla sobre la problemática de la Vespa Velutina (avispa asiática) y métodos de contención. Con la colaboración de Federación ...,2021-06-01T00:00:00Z,Ayuntamiento de Villaviciosa - Asturias,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=gFKCQHJhBQM,721,12,1,PT1H45M59S
VNmapy7ICcU,vespa crabro VS vespa velutina,,2024-10-07T00:00:00Z,VIPEFE,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=VNmapy7ICcU,2229,20,2,PT22S
H_NeHeBJqjo,Vespa velutina | Beekeeping Academy | Ep. 81,"Vespa velutina, the yellow-legged hornet, is a pest of honey bee colonies. Originating in Asia, this hornet hunts honey bees for ...",2026-02-20T00:00:00Z,UFhoneybeelab,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=H_NeHeBJqjo,2426,126,12,PT16M29S
v1X9UverYtE,"Vespa velutina, a Lucca è allarme: cosa fare quando si vede un nido","La provincia di Lucca, insieme al Ponente ligure, è tra le zone più colpite in Italia dalla presenza del grande calabrone venuto ...",2026-01-23T00:00:00Z,NoiTv Lucca,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=v1X9UverYtE,2099,6,1,PT2M26S
PGLVJmCPwLY,Asiatische Hornisse (Vespa velutina) absaugen,,2025-09-07T00:00:00Z,Imme Diately,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=PGLVJmCPwLY,15451,43,0,PT12S
sO5hNu7ACBQ,¿Te puede matar una avispa asesina como la Vespa Velutina o avispa asiática?,"En este vídeo os hablo de la Vesta Volutina, también conocida como avispa asiática o en el algunos casos, la avispa asesina.",2018-07-24T00:00:00Z,Mundo Digital TV,Vespa_velutina,Vespa velutina,REG,ES,ES,,,,https://www.youtube.com/watch?v=sO5hNu7ACBQ,13885,216,35,PT12M35S
